Time,Voltage,Current,Capacity,Cycle
0,3.2,1.5,0.00,1
10,3.4,1.5,0.10,1
20,3.6,1.5,0.20,1
30,3.8,1.5,0.30,1
40,4.0,1.5,0.40,1
50,4.2,1.5,0.50,1
60,4.1,-1.5,0.45,1
70,3.9,-1.5,0.35,1
80,3.7,-1.5,0.25,1
90,3.5,-1.5,0.15,1
100,3.3,-1.5,0.05,1

110,3.2,1.5,0.00,2
120,3.4,1.5,0.095,2
130,3.6,1.5,0.19,2
140,3.8,1.5,0.285,2
150,4.0,1.5,0.38,2
160,4.2,1.5,0.47,2
170,4.1,-1.5,0.42,2
180,3.9,-1.5,0.32,2
190,3.7,-1.5,0.23,2
200,3.5,-1.5,0.14,2
210,3.3,-1.5,0.05,2

220,3.2,1.5,0.00,3
230,3.4,1.5,0.09,3
240,3.6,1.5,0.18,3
250,3.8,1.5,0.27,3
260,4.0,1.5,0.36,3
270,4.2,1.5,0.45,3
280,4.1,-1.5,0.40,3
290,3.9,-1.5,0.30,3
300,3.7,-1.5,0.21,3
310,3.5,-1.5,0.13,3
320,3.3,-1.5,0.05,3

330,3.2,1.5,0.00,4
340,3.4,1.5,0.085,4
350,3.6,1.5,0.17,4
360,3.8,1.5,0.255,4
370,4.0,1.5,0.34,4
380,4.2,1.5,0.43,4
390,4.1,-1.5,0.38,4
400,3.9,-1.5,0.29,4
410,3.7,-1.5,0.20,4
420,3.5,-1.5,0.12,4
430,3.3,-1.5,0.05,4

440,3.2,1.5,0.00,5
450,3.4,1.5,0.08,5
460,3.6,1.5,0.16,5
470,3.8,1.5,0.24,5
480,4.0,1.5,0.32,5
490,4.2,1.5,0.40,5
500,4.1,-1.5,0.36,5
510,3.9,-1.5,0.27,5
520,3.7,-1.5,0.19,5
530,3.5,-1.5,0.11,5
540,3.3,-1.5,0.05,5
